N,BlockSize,RunID,Time_ms
256,0,1,0.035288
256,0,2,0.043813
256,0,3,0.034379
256,0,4,0.034379
256,0,5,0.03389
256,0,6,0.03389
256,0,7,0.033611
256,0,8,0.033331
256,0,9,0.03382
256,0,10,0.03382
256,0,11,0.03382
256,0,12,0.03389
256,0,13,0.0334
256,0,14,0.03389
256,0,15,0.03368
256,0,16,0.032422
256,0,17,0.03389
256,0,18,0.033401
256,0,19,0.03382
256,0,20,0.034309
256,0,21,0.03389
256,0,22,0.032912
256,0,23,0.03361
256,0,24,0.03382
256,0,25,0.03389
256,0,26,0.032423
256,0,27,0.03396
256,0,28,0.032912
256,0,29,0.032912
256,0,30,0.033191
256,0,31,0.03389
256,0,32,0.034729
256,0,33,0.033401
256,0,34,0.03389
256,0,35,0.033889
256,0,36,0.03396
256,0,37,0.03361
256,0,38,0.03361
256,0,39,0.033471
256,0,40,0.0334
256,0,41,0.034379
256,0,42,0.033331
256,0,43,0.032422
256,0,44,0.032422
256,0,45,0.032912
256,0,46,0.032911
256,0,47,0.032492
256,0,48,0.032982
256,0,49,0.032982
256,0,50,0.032493
256,0,51,0.032912
256,0,52,0.032492
256,0,53,0.032702
256,0,54,0.032632
256,0,55,0.032492
256,0,56,0.032422
256,0,57,0.032912
256,0,58,0.032423
256,0,59,0.032423
256,0,60,0.041367
256,0,61,0.032702
256,0,62,0.032912
256,0,63,0.032911
256,0,64,0.032492
256,0,65,0.032492
256,0,66,0.032493
256,0,67,0.032493
256,0,68,0.032702
256,0,69,0.033191
256,0,70,0.035847
256,0,71,0.032423
256,0,72,0.032842
256,0,73,0.032423
256,0,74,0.032842
256,0,75,0.032422
256,0,76,0.032842
256,0,77,0.032422
256,0,78,0.032422
256,0,79,0.032911
256,0,80,0.032492
256,0,81,0.032981
256,0,82,0.032423
256,0,83,0.032982
256,0,84,0.032702
256,0,85,0.032703
256,0,86,0.032492
256,0,87,0.032422
256,0,88,0.032911
256,0,89,0.039969
256,0,90,0.032423
256,0,91,0.032353
256,0,92,0.032632
