N,BlockSize,RunID,L2_TCM
256,32,1,411
256,32,2,230
256,32,3,235
256,32,4,230
256,32,5,285
256,32,6,303
256,32,7,305
256,32,8,317
256,32,9,213
256,32,10,234
256,32,11,228
256,32,12,263
256,32,13,335
256,32,14,328
256,32,15,307
256,32,16,253
256,32,17,245
256,32,18,246
256,32,19,222
256,32,20,230
256,32,21,239
256,32,22,237
256,32,23,214
256,32,24,215
256,32,25,233
256,32,26,198
256,32,27,267
256,32,28,332
256,32,29,225
256,32,30,196
256,32,31,239
256,32,32,216
256,32,33,251
256,32,34,246
256,32,35,220
256,32,36,234
256,32,37,220
256,32,38,236
256,32,39,220
256,32,40,248
256,32,41,209
256,32,42,240
256,32,43,237
256,32,44,225
256,32,45,228
256,32,46,234
256,32,47,215
256,32,48,212
256,32,49,229
256,32,50,226
256,32,51,219
256,32,52,233
256,32,53,331
256,32,54,332
256,32,55,304
256,32,56,262
256,32,57,246
256,32,58,247
256,32,59,228
256,32,60,205
256,32,61,242
256,32,62,238
256,32,63,210
256,32,64,254
256,32,65,269
256,32,66,281
256,32,67,235
256,32,68,225
256,32,69,245
256,32,70,206
256,32,71,309
256,32,72,308
256,32,73,314
256,32,74,299
256,32,75,207
256,32,76,230
256,32,77,238
256,32,78,201
256,32,79,221
256,32,80,238
256,32,81,226
256,32,82,231
256,32,83,233
256,32,84,256
256,32,85,235
256,32,86,229
256,32,87,221
256,32,88,230
256,32,89,226
256,32,90,235
256,32,91,223
256,32,92,265
256,32,93,303
256,32,94,295
256,32,95,326
256,32,96,278
256,32,97,218
256,32,98,242
256,32,99,242
256,32,100,222
256,128,1,237
256,128,2,157
256,128,3,139
256,128,4,142
256,128,5,152
256,128,6,126
256,128,7,149
256,128,8,123
256,128,9,139
256,128,10,161
256,128,11,115
256,128,12,123
256,128,13,139
256,128,14,115
256,128,15,130
256,128,16,150
256,128,17,164
256,128,18,161
256,128,19,158
256,128,20,118
256,128,21,153
256,128,22,138
256,128,23,151
256,128,24,132
256,128,25,134
256,128,26,122
256,128,27,145
256,128,28,130
256,128,29,114
256,128,30,120
256,128,31,124
256,128,32,117
256,128,33,129
256,128,34,133
256,128,35,150
256,128,36,122
256,128,37,138
256,128,38,138
256,128,39,118
256,128,40,128
256,128,41,162
256,128,42,137
256,128,43,121
256,128,44,146
256,128,45,194
256,128,46,158
256,128,47,143
256,128,48,130
256,128,49,141
256,128,50,136
256,128,51,113
256,128,52,140
256,128,53,166
256,128,54,139
256,128,55,129
256,128,56,141
256,128,57,108
256,128,58,145
256,128,59,124
256,128,60,139
256,128,61,136
256,128,62,122
256,128,63,144
256,128,64,124
256,128,65,138
256,128,66,149
256,128,67,141
256,128,68,125
256,128,69,147
256,128,70,146
256,128,71,136
256,128,72,188
256,128,73,159
256,128,74,128
256,128,75,148
256,128,76,132
256,128,77,133
