N,BlockSize,RunID,Time_ms
256,8,1,0.023816
256,8,2,0.023397
256,8,3,0.022838
256,8,4,0.023257
256,8,5,0.023397
256,8,6,0.023396
256,8,7,0.023537
256,8,8,0.023257
256,8,9,0.023327
256,8,10,0.023327
256,8,11,0.023327
256,8,12,0.023536
256,8,13,0.023816
256,8,14,0.023537
256,8,15,0.023397
256,8,16,0.023397
256,8,17,0.023257
256,8,18,0.023327
256,8,19,0.023467
256,8,20,0.022978
256,8,21,0.023048
256,8,22,0.030241
256,8,23,0.023396
256,8,24,0.023397
256,8,25,0.023466
256,8,26,0.023257
256,8,27,0.023816
256,8,28,0.023886
256,8,29,0.022489
256,8,30,0.022
256,8,31,0.022698
256,8,32,0.022699
256,8,33,0.02235
256,8,34,0.022419
256,8,35,0.022419
256,8,36,0.022489
256,8,37,0.022489
256,8,38,0.022349
256,8,39,0.02193
256,8,40,0.02242
256,8,41,0.022559
256,8,42,0.022349
256,8,43,0.022698
256,8,44,0.022489
256,8,45,0.022349
256,8,46,0.022349
256,8,47,0.022419
256,8,48,0.022419
256,8,49,0.022489
256,8,50,0.02228
256,8,51,0.022349
256,8,52,0.022559
256,8,53,0.022419
256,8,54,0.022628
256,8,55,0.022279
256,8,56,0.022489
256,8,57,0.022768
256,8,58,0.022419
256,8,59,0.022489
256,8,60,0.022489
256,8,61,0.022769
256,8,62,0.02235
256,8,63,0.022
256,8,64,0.030102
256,8,65,0.022699
256,8,66,0.022558
256,8,67,0.022489
256,8,68,0.023886
256,8,69,0.021931
256,8,70,0.021791
256,8,71,0.02193
256,8,72,0.02158
256,8,73,0.021372
256,8,74,0.021372
256,8,75,0.021581
256,8,76,0.021372
256,8,77,0.02165
256,8,78,0.022
256,8,79,0.02193
256,8,80,0.02179
256,8,81,0.021511
256,8,82,0.021511
256,8,83,0.021511
256,8,84,0.02186
256,8,85,0.02193
256,8,86,0.021581
256,8,87,0.021371
256,8,88,0.021232
256,8,89,0.021511
256,8,90,0.021442
256,8,91,0.021372
256,8,92,0.021512
256,8,93,0.022
256,8,94,0.021791
256,8,95,0.021512
256,8,96,0.021511
256,8,97,0.021511
256,8,98,0.02186
256,8,99,0.021931
256,8,100,0.021861
256,16,1,0.020813
256,16,2,0.021022
256,16,3,0.019625
256,16,4,0.020952
256,16,5,0.020953
256,16,6,0.020604
256,16,7,0.030102
256,16,8,0.021092
256,16,9,0.019904
256,16,10,0.021022
256,16,11,0.020394
256,16,12,0.020673
256,16,13,0.02207
256,16,14,0.019556
256,16,15,0.019416
256,16,16,0.020045
256,16,17,0.019626
256,16,18,0.019835
256,16,19,0.020045
256,16,20,0.019626
256,16,21,0.020394
256,16,22,0.019625
256,16,23,0.019905
256,16,24,0.019765
256,16,25,0.020114
256,16,26,0.019485
256,16,27,0.019486
256,16,28,0.019625
256,16,29,0.020044
256,16,30,0.018997
256,16,31,0.018717
256,16,32,0.019974
256,16,33,0.020394
256,16,34,0.019695
256,16,35,0.020044
256,16,36,0.019835
256,16,37,0.020044
256,16,38,0.019486
256,16,39,0.020045
256,16,40,0.025352
256,16,41,0.026819
256,16,42,0.02626
256,16,43,0.019905
256,16,44,0.019067
256,16,45,0.020184
256,16,46,0.019905
256,16,47,0.020114
256,16,48,0.025143
256,16,49,0.028007
256,16,50,0.027099
256,16,51,0.027098
256,16,52,0.032895
256,16,53,0.019974
256,16,54,0.019695
256,16,55,0.019556
256,16,56,0.020813
256,16,57,0.020184
256,16,58,0.018857
256,16,59,0.019346
256,16,60,0.019206
256,16,61,0.019416
256,16,62,0.019137
256,16,63,0.019555
256,16,64,0.019416
256,16,65,0.019555
256,16,66,0.018717
256,16,67,0.019416
256,16,68,0.025701
256,16,69,0.026749
256,16,70,0.025632
256,16,71,0.02598
256,16,72,0.020883
256,16,73,0.019626
256,16,74,0.019066
256,16,75,0.019416
256,16,76,0.019556
256,16,77,0.019206
256,16,78,0.019416
256,16,79,0.019067
256,16,80,0.019695
256,16,81,0.019346
256,16,82,0.019206
256,16,83,0.019346
256,16,84,0.018577
256,16,85,0.018159
256,16,86,0.018438
256,16,87,0.019137
256,16,88,0.019136
256,16,89,0.019416
256,16,90,0.018228
256,16,91,0.019625
256,16,92,0.019416
256,16,93,0.019136
256,16,94,0.019556
256,16,95,0.019416
256,16,96,0.019067
256,16,97,0.018787
256,16,98,0.029543
256,16,99,0.020114
256,16,100,0.018578
256,32,1,0.023397
256,32,2,0.022908
256,32,3,0.025143
256,32,4,0.024234
256,32,5,0.022559
256,32,6,0.022768
256,32,7,0.022559
256,32,8,0.022419
256,32,9,0.022978
256,32,10,0.022419
256,32,11,0.022768
256,32,12,0.022908
256,32,13,0.022419
256,32,14,0.022
256,32,15,0.022349
256,32,16,0.023327
256,32,17,0.022349
256,32,18,0.022698
256,32,19,0.022838
256,32,20,0.022489
256,32,21,0.022
256,32,22,0.023327
256,32,23,0.022349
256,32,24,0.022419
256,32,25,0.023047
256,32,26,0.022768
256,32,27,0.022279
256,32,28,0.02207
256,32,29,0.022279
256,32,30,0.023257
256,32,31,0.022489
256,32,32,0.022978
256,32,33,0.022419
256,32,34,0.02228
256,32,35,0.022419
256,32,36,0.022489
256,32,37,0.022349
256,32,38,0.022838
256,32,39,0.022419
256,32,40,0.030311
256,32,41,0.022908
256,32,42,0.02228
256,32,43,0.022349
256,32,44,0.022488
256,32,45,0.022489
256,32,46,0.022768
256,32,47,0.022838
256,32,48,0.022489
256,32,49,0.022488
256,32,50,0.02214
256,32,51,0.022768
256,32,52,0.022
256,32,53,0.022838
256,32,54,0.022279
256,32,55,0.022489
256,32,56,0.022419
256,32,57,0.022838
256,32,58,0.022838
256,32,59,0.022908
256,32,60,0.022559
256,32,61,0.02214
256,32,62,0.023117
256,32,63,0.022978
256,32,64,0.022419
256,32,65,0.022768
256,32,66,0.02193
256,32,67,0.02193
256,32,68,0.022489
256,32,69,0.021372
256,32,70,0.02235
256,32,71,0.022628
256,32,72,0.022908
256,32,73,0.022628
256,32,74,0.022489
256,32,75,0.022908
256,32,76,0.022349
256,32,77,0.022838
256,32,78,0.022489
256,32,79,0.022489
256,32,80,0.022349
256,32,81,0.022838
256,32,82,0.029473
256,32,83,0.022559
256,32,84,0.022769
256,32,85,0.022558
256,32,86,0.022978
256,32,87,0.024793
256,32,88,0.022489
256,32,89,0.022768
256,32,90,0.02193
256,32,91,0.022419
256,32,92,0.022
256,32,93,0.022769
256,32,94,0.022838
256,32,95,0.023327
256,32,96,0.023188
256,32,97,0.022838
256,32,98,0.022559
256,32,99,0.022908
256,32,100,0.022419
256,64,1,0.033315
256,64,2,0.033384
256,64,3,0.032406
256,64,4,0.032685
256,64,5,0.031499
256,64,6,0.032406
256,64,7,0.032895
256,64,8,0.032895
256,64,9,0.032476
256,64,10,0.032406
256,64,11,0.032965
256,64,12,0.032685
256,64,13,0.032406
256,64,14,0.032406
256,64,15,0.032476
256,64,16,0.039879
256,64,17,0.032895
256,64,18,0.032826
256,64,19,0.034292
256,64,20,0.034502
256,64,21,0.032407
256,64,22,0.032406
256,64,23,0.032406
256,64,24,0.032476
256,64,25,0.032965
256,64,26,0.032896
256,64,27,0.032686
256,64,28,0.032337
256,64,29,0.032407
256,64,30,0.032406
256,64,31,0.032476
256,64,32,0.032895
256,64,33,0.032895
256,64,34,0.032406
256,64,35,0.032616
256,64,36,0.032895
256,64,37,0.032895
256,64,38,0.032476
256,64,39,0.032476
256,64,40,0.032406
256,64,41,0.032476
256,64,42,0.032895
256,64,43,0.032686
256,64,44,0.032966
256,64,45,0.032407
256,64,46,0.041905
256,64,47,0.032895
256,64,48,0.037644
256,64,49,0.03534
256,64,50,0.032685
256,64,51,0.033175
256,64,52,0.032896
256,64,53,0.032896
256,64,54,0.032965
256,64,55,0.032896
256,64,56,0.032895
256,64,57,0.032895
256,64,58,0.032686
256,64,59,0.031499
256,64,60,0.032895
256,64,61,0.032895
256,64,62,0.032406
256,64,63,0.032476
256,64,64,0.032476
256,64,65,0.037016
256,64,66,0.038412
256,64,67,0.032406
256,64,68,0.032825
256,64,69,0.033314
256,64,70,0.032896
256,64,71,0.032826
256,64,72,0.036737
256,64,73,0.039949
256,64,74,0.048609
256,64,75,0.032895
256,64,76,0.032965
256,64,77,0.032965
256,64,78,0.036318
256,64,79,0.032477
256,64,80,0.033175
256,64,81,0.032755
256,64,82,0.032826
256,64,83,0.032407
256,64,84,0.032896
256,64,85,0.032895
256,64,86,0.032895
256,64,87,0.032895
256,64,88,0.033105
256,64,89,0.032895
256,64,90,0.032825
256,64,91,0.032406
256,64,92,0.032406
256,64,93,0.032895
256,64,94,0.032476
256,64,95,0.032685
256,64,96,0.032686
256,64,97,0.032476
256,64,98,0.037644
256,64,99,0.032406
256,64,100,0.032825
256,128,1,0.032406
256,128,2,0.040718
256,128,3,0.033174
256,128,4,0.032965
256,128,5,0.031987
256,128,6,0.032895
256,128,7,0.032895
256,128,8,0.035759
256,128,9,0.033873
256,128,10,0.033244
256,128,11,0.032616
256,128,12,0.032965
256,128,13,0.032965
256,128,14,0.032896
256,128,15,0.032476
256,128,16,0.032966
256,128,17,0.032965
256,128,18,0.032686
256,128,19,0.032755
256,128,20,0.032895
256,128,21,0.032896
256,128,22,0.032895
256,128,23,0.032896
256,128,24,0.032756
256,128,25,0.032336
256,128,26,0.033104
256,128,27,0.032896
256,128,28,0.032407
256,128,29,0.032477
256,128,30,0.032895
256,128,31,0.040997
256,128,32,0.033384
256,128,33,0.031917
256,128,34,0.031918
256,128,35,0.032896
256,128,36,0.032895
256,128,37,0.032895
256,128,38,0.031917
256,128,39,0.033384
256,128,40,0.032895
256,128,41,0.033174
256,128,42,0.032686
256,128,43,0.032965
256,128,44,0.032895
256,128,45,0.033315
256,128,46,0.038483
256,128,47,0.037155
256,128,48,0.038482
256,128,49,0.037994
256,128,50,0.033385
256,128,51,0.032896
256,128,52,0.032896
256,128,53,0.032406
256,128,54,0.031917
256,128,55,0.0352
256,128,56,0.037784
256,128,57,0.032896
256,128,58,0.032896
256,128,59,0.031988
256,128,60,0.043372
256,128,61,0.032895
256,128,62,0.032895
256,128,63,0.032406
256,128,64,0.032895
256,128,65,0.032825
256,128,66,0.032895
256,128,67,0.033384
256,128,68,0.032895
256,128,69,0.032406
256,128,70,0.031499
256,128,71,0.031708
256,128,72,0.033175
256,128,73,0.038693
256,128,74,0.036667
256,128,75,0.038063
256,128,76,0.037714
256,128,77,0.036806
256,128,78,0.034572
256,128,79,0.032686
256,128,80,0.036178
256,128,81,0.036248
256,128,82,0.038133
256,128,83,0.038762
256,128,84,0.032895
256,128,85,0.032685
256,128,86,0.033175
256,128,87,0.033873
256,128,88,0.043302
256,128,89,0.033873
256,128,90,0.033873
256,128,91,0.033873
256,128,92,0.033873
256,128,93,0.033594
256,128,94,0.033873
256,128,95,0.033803
256,128,96,0.034362
256,128,97,0.033803
256,128,98,0.033873
256,128,99,0.033384
256,128,100,0.034152
512,8,1,0.104203
512,8,2,0.104343
512,8,3,0.113912
512,8,4,0.104413
512,8,5,0.108603
512,8,6,0.104203
512,8,7,0.103924
512,8,8,0.104553
512,8,9,0.104483
512,8,10,0.108813
512,8,11,0.104064
512,8,12,0.116216
512,8,13,0.107207
512,8,14,0.104343
512,8,15,0.111257
512,8,16,0.108743
512,8,17,0.108603
