N,BlockSize,RunID,L2_TCM
256,8,1,1052
256,8,2,1200
256,8,3,1329
256,8,4,683
256,8,5,698
256,8,6,654
256,8,7,635
256,8,8,601
256,8,9,617
256,8,10,586
256,8,11,712
256,8,12,1487
256,8,13,1215
256,8,14,751
256,8,15,572
256,8,16,532
256,8,17,554
256,8,18,543
256,8,19,527
256,8,20,512
256,8,21,541
256,8,22,508
256,8,23,486
256,8,24,517
256,8,25,524
256,8,26,557
256,8,27,528
256,8,28,550
256,8,29,524
256,8,30,536
256,8,31,509
256,8,32,633
256,8,33,994
256,8,34,594
256,8,35,519
256,8,36,519
256,8,37,541
256,8,38,526
256,8,39,539
256,8,40,535
256,8,41,522
256,8,42,510
256,8,43,505
256,8,44,511
256,8,45,508
256,8,46,488
256,8,47,531
256,8,48,492
256,8,49,506
256,8,50,543
256,8,51,525
256,8,52,552
256,8,53,519
256,8,54,619
256,8,55,620
256,8,56,626
256,8,57,592
256,8,58,601
256,8,59,582
256,8,60,609
256,8,61,601
256,8,62,604
256,8,63,564
256,8,64,490
256,8,65,500
256,8,66,529
256,8,67,517
256,8,68,520
256,8,69,493
256,8,70,478
256,8,71,485
256,8,72,509
256,8,73,534
256,8,74,743
256,8,75,588
256,8,76,532
256,8,77,549
256,8,78,537
256,8,79,516
256,8,80,523
256,8,81,545
256,8,82,512
256,8,83,490
256,8,84,505
256,8,85,510
256,8,86,506
256,8,87,517
256,8,88,521
256,8,89,475
256,8,90,511
256,8,91,510
256,8,92,508
256,8,93,518
256,8,94,499
256,8,95,526
256,8,96,513
256,8,97,484
256,8,98,522
256,8,99,501
256,8,100,505
256,16,1,755
256,16,2,952
256,16,3,736
256,16,4,445
256,16,5,550
256,16,6,1135
256,16,7,722
256,16,8,423
256,16,9,462
256,16,10,432
256,16,11,436
256,16,12,456
256,16,13,448
256,16,14,792
256,16,15,623
256,16,16,480
256,16,17,424
256,16,18,455
256,16,19,464
256,16,20,453
256,16,21,399
256,16,22,399
256,16,23,440
256,16,24,450
256,16,25,420
256,16,26,426
256,16,27,420
256,16,28,454
256,16,29,425
256,16,30,455
256,16,31,441
256,16,32,443
256,16,33,409
256,16,34,445
256,16,35,436
256,16,36,436
256,16,37,442
256,16,38,395
256,16,39,421
256,16,40,416
256,16,41,422
256,16,42,435
256,16,43,433
256,16,44,413
256,16,45,464
256,16,46,427
256,16,47,427
256,16,48,423
256,16,49,421
256,16,50,419
256,16,51,401
256,16,52,409
256,16,53,446
256,16,54,498
256,16,55,518
256,16,56,527
256,16,57,847
256,16,58,646
256,16,59,540
256,16,60,488
256,16,61,505
256,16,62,528
256,16,63,498
256,16,64,463
256,16,65,460
256,16,66,421
256,16,67,436
256,16,68,422
256,16,69,418
256,16,70,417
256,16,71,412
256,16,72,407
256,16,73,414
256,16,74,467
256,16,75,520
256,16,76,557
256,16,77,544
256,16,78,531
256,16,79,537
256,16,80,531
256,16,81,498
256,16,82,530
256,16,83,550
256,16,84,505
256,16,85,518
256,16,86,509
256,16,87,541
256,16,88,528
256,16,89,533
256,16,90,538
256,16,91,515
256,16,92,531
256,16,93,549
256,16,94,519
256,16,95,461
256,16,96,454
256,16,97,408
256,16,98,405
256,16,99,413
256,16,100,790
256,32,1,664
256,32,2,1384
256,32,3,1658
256,32,4,1479
256,32,5,1493
256,32,6,783
256,32,7,1045
256,32,8,1676
256,32,9,1993
256,32,10,1658
256,32,11,495
256,32,12,395
256,32,13,398
256,32,14,388
256,32,15,395
256,32,16,417
256,32,17,1116
256,32,18,939
256,32,19,504
256,32,20,411
256,32,21,398
256,32,22,421
256,32,23,399
256,32,24,403
256,32,25,377
256,32,26,408
256,32,27,426
256,32,28,382
256,32,29,399
256,32,30,421
256,32,31,880
256,32,32,968
256,32,33,595
256,32,34,457
256,32,35,407
256,32,36,372
256,32,37,378
256,32,38,423
256,32,39,378
256,32,40,380
256,32,41,379
256,32,42,389
256,32,43,403
256,32,44,379
256,32,45,393
256,32,46,410
256,32,47,391
256,32,48,387
256,32,49,385
256,32,50,385
256,32,51,379
256,32,52,400
256,32,53,386
256,32,54,371
256,32,55,389
256,32,56,378
256,32,57,741
256,32,58,696
256,32,59,410
256,32,60,405
256,32,61,422
256,32,62,373
256,32,63,599
256,32,64,773
256,32,65,399
256,32,66,387
256,32,67,442
256,32,68,824
256,32,69,425
256,32,70,852
256,32,71,450
256,32,72,419
256,32,73,408
256,32,74,370
256,32,75,396
256,32,76,399
256,32,77,395
256,32,78,425
256,32,79,418
256,32,80,378
256,32,81,387
256,32,82,385
256,32,83,384
256,32,84,358
256,32,85,404
256,32,86,356
256,32,87,395
256,32,88,363
256,32,89,383
256,32,90,383
256,32,91,382
256,32,92,381
256,32,93,356
256,32,94,416
256,32,95,389
256,32,96,394
256,32,97,393
256,32,98,378
256,32,99,377
256,32,100,368
256,64,1,938
256,64,2,965
256,64,3,697
256,64,4,853
256,64,5,1034
256,64,6,511
256,64,7,371
256,64,8,410
256,64,9,407
256,64,10,382
256,64,11,395
256,64,12,423
256,64,13,403
256,64,14,400
256,64,15,391
256,64,16,403
256,64,17,383
256,64,18,411
256,64,19,427
256,64,20,404
256,64,21,393
256,64,22,417
256,64,23,407
256,64,24,403
256,64,25,427
256,64,26,423
256,64,27,399
256,64,28,392
256,64,29,403
256,64,30,626
256,64,31,515
256,64,32,435
256,64,33,392
256,64,34,424
256,64,35,414
256,64,36,386
256,64,37,401
256,64,38,403
256,64,39,391
256,64,40,411
256,64,41,407
256,64,42,397
256,64,43,397
256,64,44,392
256,64,45,395
256,64,46,410
256,64,47,418
256,64,48,383
256,64,49,421
256,64,50,400
256,64,51,406
256,64,52,393
256,64,53,419
256,64,54,415
256,64,55,415
256,64,56,381
256,64,57,516
256,64,58,555
256,64,59,426
256,64,60,390
256,64,61,378
256,64,62,370
256,64,63,443
256,64,64,386
256,64,65,404
256,64,66,418
256,64,67,410
256,64,68,386
256,64,69,388
256,64,70,427
256,64,71,404
256,64,72,393
256,64,73,422
256,64,74,403
256,64,75,393
256,64,76,401
256,64,77,404
256,64,78,418
256,64,79,386
256,64,80,396
256,64,81,418
256,64,82,409
256,64,83,416
256,64,84,457
256,64,85,658
256,64,86,444
256,64,87,428
256,64,88,433
256,64,89,380
256,64,90,381
256,64,91,393
256,64,92,396
256,64,93,371
256,64,94,390
256,64,95,399
256,64,96,402
256,64,97,395
256,64,98,389
256,64,99,358
256,64,100,401
256,128,1,650
256,128,2,513
256,128,3,248
256,128,4,227
256,128,5,237
256,128,6,604
256,128,7,344
256,128,8,239
256,128,9,241
256,128,10,209
256,128,11,298
256,128,12,313
256,128,13,258
256,128,14,201
256,128,15,254
256,128,16,233
256,128,17,201
256,128,18,222
256,128,19,213
256,128,20,233
256,128,21,205
256,128,22,211
256,128,23,226
256,128,24,207
256,128,25,217
256,128,26,222
256,128,27,215
256,128,28,239
256,128,29,216
256,128,30,233
256,128,31,218
256,128,32,214
256,128,33,223
256,128,34,197
256,128,35,228
256,128,36,205
256,128,37,188
256,128,38,227
256,128,39,251
256,128,40,231
256,128,41,163
256,128,42,184
256,128,43,179
256,128,44,215
256,128,45,182
256,128,46,188
256,128,47,196
256,128,48,180
256,128,49,173
256,128,50,191
256,128,51,209
256,128,52,216
256,128,53,224
256,128,54,202
256,128,55,236
256,128,56,205
256,128,57,226
256,128,58,217
256,128,59,223
256,128,60,231
256,128,61,208
256,128,62,497
256,128,63,409
256,128,64,235
256,128,65,294
256,128,66,309
256,128,67,224
256,128,68,270
256,128,69,520
256,128,70,278
256,128,71,379
256,128,72,653
256,128,73,359
256,128,74,225
256,128,75,195
256,128,76,235
256,128,77,236
256,128,78,214
256,128,79,248
256,128,80,208
256,128,81,228
256,128,82,248
256,128,83,245
256,128,84,215
256,128,85,230
256,128,86,224
256,128,87,232
256,128,88,212
256,128,89,231
256,128,90,214
256,128,91,246
256,128,92,305
256,128,93,337
256,128,94,251
256,128,95,254
256,128,96,205
256,128,97,244
256,128,98,240
256,128,99,223
256,128,100,230
512,8,1,21367
512,8,2,22253
512,8,3,21464
512,8,4,21411
512,8,5,21508
512,8,6,21402
512,8,7,19897
512,8,8,19432
512,8,9,21152
512,8,10,21494
512,8,11,21574
512,8,12,22578
512,8,13,23221
512,8,14,22341
512,8,15,21539
512,8,16,21321
512,8,17,21226
512,8,18,21240
512,8,19,21553
512,8,20,21476
512,8,21,21349
512,8,22,21281
512,8,23,21194
512,8,24,21344
512,8,25,21306
512,8,26,21332
512,8,27,21392
512,8,28,21458
512,8,29,21404
512,8,30,21292
512,8,31,21429
512,8,32,21279
512,8,33,21516
512,8,34,21314
512,8,35,21391
512,8,36,21330
512,8,37,21487
512,8,38,22030
512,8,39,21478
512,8,40,23017
512,8,41,21891
512,8,42,21415
512,8,43,21314
512,8,44,21542
512,8,45,21594
512,8,46,21587
512,8,47,21434
512,8,48,21333
512,8,49,21333
512,8,50,21579
512,8,51,21909
512,8,52,21914
512,8,53,21482
512,8,54,21543
512,8,55,21472
512,8,56,21356
512,8,57,21453
512,8,58,21264
512,8,59,21316
512,8,60,21369
512,8,61,21168
512,8,62,21263
512,8,63,21468
512,8,64,21544
512,8,65,21569
512,8,66,21311
512,8,67,21268
512,8,68,21293
512,8,69,21325
512,8,70,21308
512,8,71,21377
512,8,72,21398
512,8,73,21327
512,8,74,21382
512,8,75,21240
512,8,76,21299
512,8,77,21357
512,8,78,20142
512,8,79,19201
512,8,80,20794
512,8,81,21586
512,8,82,21377
512,8,83,21437
512,8,84,21265
512,8,85,21422
512,8,86,21153
512,8,87,21543
512,8,88,21380
512,8,89,21124
512,8,90,21369
512,8,91,21407
512,8,92,21348
512,8,93,21379
512,8,94,21356
512,8,95,21304
512,8,96,21342
512,8,97,21357
512,8,98,21357
512,8,99,21534
512,8,100,21336
512,16,1,19315
512,16,2,17498
512,16,3,15871
512,16,4,17501
512,16,5,15591
512,16,6,15534
512,16,7,18919
512,16,8,16469
512,16,9,15591
512,16,10,15530
512,16,11,15526
512,16,12,15573
512,16,13,15627
512,16,14,18656
512,16,15,15542
512,16,16,15416
512,16,17,15671
512,16,18,15569
512,16,19,15536
512,16,20,15473
512,16,21,15392
512,16,22,15689
512,16,23,15660
512,16,24,15487
512,16,25,15855
512,16,26,18776
512,16,27,15640
512,16,28,15437
512,16,29,15439
512,16,30,15440
512,16,31,15608
512,16,32,15649
512,16,33,15413
512,16,34,15252
512,16,35,15544
512,16,36,15509
512,16,37,15354
512,16,38,15557
512,16,39,15478
512,16,40,15466
512,16,41,15635
512,16,42,15486
512,16,43,15686
512,16,44,15590
512,16,45,15570
512,16,46,15427
512,16,47,17401
512,16,48,19596
512,16,49,19408
512,16,50,18888
512,16,51,19389
512,16,52,18475
512,16,53,18966
512,16,54,18115
512,16,55,15705
512,16,56,15549
512,16,57,15535
512,16,58,15638
512,16,59,15434
512,16,60,15105
512,16,61,15733
512,16,62,15431
512,16,63,15609
512,16,64,15513
512,16,65,15469
512,16,66,15687
512,16,67,15620
512,16,68,15450
512,16,69,15600
512,16,70,15549
512,16,71,15324
512,16,72,18646
512,16,73,19293
512,16,74,18147
512,16,75,16168
512,16,76,17810
512,16,77,16602
512,16,78,16865
512,16,79,16978
512,16,80,16437
512,16,81,16662
512,16,82,16848
512,16,83,15746
512,16,84,16137
512,16,85,16170
512,16,86,16787
512,16,87,16855
512,16,88,16559
512,16,89,19120
512,16,90,17444
512,16,91,18695
512,16,92,16974
512,16,93,18341
512,16,94,19228
512,16,95,19576
512,16,96,17703
512,16,97,19013
512,16,98,18824
512,16,99,18665
512,16,100,17901
512,32,1,14073
512,32,2,14087
512,32,3,14479
512,32,4,14104
512,32,5,14104
512,32,6,13998
512,32,7,14623
512,32,8,14546
512,32,9,14198
512,32,10,14535
512,32,11,14754
512,32,12,14408
512,32,13,14510
512,32,14,15041
512,32,15,14715
512,32,16,14569
512,32,17,13949
512,32,18,14066
512,32,19,18960
512,32,20,14027
512,32,21,12328
512,32,22,13479
512,32,23,14006
512,32,24,13101
512,32,25,12432
512,32,26,12298
512,32,27,12954
512,32,28,12694
512,32,29,12297
512,32,30,12225
512,32,31,12977
512,32,32,15565
512,32,33,15191
512,32,34,15482
512,32,35,14029
512,32,36,13200
512,32,37,12391
512,32,38,12324
512,32,39,12308
512,32,40,12525
512,32,41,12427
512,32,42,12354
512,32,43,13379
512,32,44,13995
512,32,45,13156
512,32,46,13595
512,32,47,14516
512,32,48,13255
512,32,49,12364
512,32,50,12429
512,32,51,12502
512,32,52,12494
512,32,53,12449
512,32,54,12378
512,32,55,12335
512,32,56,12276
512,32,57,12401
512,32,58,12255
512,32,59,12243
512,32,60,12298
512,32,61,12418
512,32,62,12703
512,32,63,13910
512,32,64,12585
512,32,65,12439
512,32,66,12360
512,32,67,12409
512,32,68,12399
512,32,69,12316
512,32,70,12330
512,32,71,12264
512,32,72,12199
512,32,73,12347
512,32,74,12452
512,32,75,12353
512,32,76,12159
512,32,77,14474
512,32,78,14213
512,32,79,12411
512,32,80,12446
512,32,81,12797
512,32,82,12458
512,32,83,12335
512,32,84,12470
512,32,85,12492
512,32,86,12263
512,32,87,12433
512,32,88,12332
512,32,89,12426
512,32,90,12269
512,32,91,12315
512,32,92,12453
512,32,93,12489
512,32,94,12274
512,32,95,12347
512,32,96,12414
512,32,97,12314
512,32,98,12543
512,32,99,12621
512,32,100,12323
512,64,1,12021
512,64,2,11954
512,64,3,12159
512,64,4,12073
512,64,5,12012
512,64,6,12980
512,64,7,13508
512,64,8,13348
512,64,9,12855
512,64,10,12060
512,64,11,12324
512,64,12,11708
512,64,13,12148
512,64,14,12215
512,64,15,11800
512,64,16,12279
512,64,17,11911
512,64,18,13234
512,64,19,12503
512,64,20,12064
512,64,21,11939
512,64,22,12263
512,64,23,12824
512,64,24,12149
512,64,25,12958
512,64,26,13319
512,64,27,13008
512,64,28,13121
512,64,29,13112
512,64,30,13030
512,64,31,12712
512,64,32,12494
512,64,33,12578
512,64,34,12635
512,64,35,12806
512,64,36,12650
512,64,37,12696
512,64,38,12742
512,64,39,12690
512,64,40,12820
512,64,41,12670
512,64,42,12611
512,64,43,12832
512,64,44,13125
512,64,45,13404
512,64,46,13162
512,64,47,13152
512,64,48,13422
512,64,49,12372
512,64,50,12728
512,64,51,13356
512,64,52,10934
512,64,53,10292
512,64,54,10157
512,64,55,10058
512,64,56,10159
512,64,57,10065
512,64,58,10199
512,64,59,10304
512,64,60,10141
512,64,61,10113
512,64,62,10157
512,64,63,10046
512,64,64,11503
512,64,65,12924
512,64,66,12440
512,64,67,11178
512,64,68,11192
512,64,69,10340
512,64,70,10133
512,64,71,10169
512,64,72,10219
512,64,73,10136
512,64,74,10203
512,64,75,10050
512,64,76,10288
512,64,77,10183
512,64,78,10074
512,64,79,9955
512,64,80,10047
512,64,81,9999
512,64,82,10197
512,64,83,11815
512,64,84,12355
512,64,85,12469
512,64,86,12095
512,64,87,11932
512,64,88,12090
512,64,89,12007
512,64,90,12160
512,64,91,12207
512,64,92,12762
512,64,93,13225
512,64,94,12191
512,64,95,12144
512,64,96,12137
512,64,97,12094
512,64,98,12085
512,64,99,12112
512,64,100,12058
512,128,1,19573
512,128,2,16903
512,128,3,16746
512,128,4,16632
512,128,5,16572
512,128,6,17028
512,128,7,20964
512,128,8,20365
512,128,9,20107
512,128,10,20288
512,128,11,20759
512,128,12,18600
512,128,13,16689
512,128,14,16584
512,128,15,16736
512,128,16,18596
512,128,17,19385
512,128,18,18233
512,128,19,16505
512,128,20,16734
512,128,21,16566
512,128,22,16639
512,128,23,17336
512,128,24,19873
512,128,25,20331
512,128,26,19649
512,128,27,19833
512,128,28,19661
512,128,29,19714
512,128,30,19751
512,128,31,19719
512,128,32,19966
512,128,33,19749
512,128,34,19586
512,128,35,19608
512,128,36,19584
512,128,37,20125
512,128,38,19844
512,128,39,19580
512,128,40,19539
512,128,41,20493
512,128,42,19388
512,128,43,20425
512,128,44,20145
512,128,45,21112
512,128,46,19811
512,128,47,20771
512,128,48,20640
512,128,49,20390
512,128,50,19807
512,128,51,18976
512,128,52,19037
512,128,53,19238
512,128,54,18951
512,128,55,19134
512,128,56,18927
512,128,57,18963
512,128,58,18791
512,128,59,18746
512,128,60,19002
512,128,61,19382
512,128,62,19253
512,128,63,19061
512,128,64,20198
512,128,65,20613
512,128,66,20009
512,128,67,19684
512,128,68,20252
512,128,69,20179
512,128,70,20877
512,128,71,20510
512,128,72,20019
512,128,73,18985
512,128,74,16988
512,128,75,16891
512,128,76,18367
512,128,77,18040
512,128,78,18609
512,128,79,20457
512,128,80,20689
512,128,81,19505
512,128,82,17137
512,128,83,15652
512,128,84,15119
512,128,85,15226
512,128,86,15246
512,128,87,15483
512,128,88,15381
512,128,89,15365
512,128,90,15412
512,128,91,15268
